"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset","embedding_size","epochs","fusion_strategy","learning_rate","model_architecture","num_parameters","optimizer","task","architecture","downsampling","embedding_dim","temperature","epoch","train_acc","train_loss","val_acc","val_loss","best_val_acc","best_val_contrastive_loss","best_val_mse","max_gpu_memory_mb","time_per_epoch_sec","total_training_time_sec","train_contrastive_loss","train_mse","val_contrastive_loss","val_mse"
"task5-projected-lidar-classifier","finished","-","","","2026-01-28T22:13:43.000Z","479","","32","","","20","","0.001","","","","task5_final_classifier","","","128","","20","0.958182272784098","0.11207158274129862","0.95425","0.12612562784552575","0.9555","","","","","","","","",""
"task5-rgb-to-lidar-projector","finished","-","","","2026-01-28T21:49:58.000Z","508","","32","","","20","","0.001","","","","task5_projection","","","128","","20","","","","","","","0.0008337168984580785","","","","","0.0008020698729669676","","0.0008365977373905479"
"task5-contrastive-hadamard-strided","finished","-","","","2026-01-28T21:34:50.000Z","782","","32","","","20","","0.001","","","","task5_contrastive_pretraining","","","128","0.07","20","","","","","","2.5698904552459716","","","","","2.4090711312294006","","2.9769059925079344",""
