"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset","embedding_size","epochs","fusion_strategy","learning_rate","model_architecture","num_parameters","optimizer","task","architecture","downsampling","embedding_dim","temperature","epoch","train_acc","train_loss","val_acc","val_loss","best_val_acc","best_val_contrastive_loss","best_val_mse","max_gpu_memory_mb","time_per_epoch_sec","total_training_time_sec","train_contrastive_loss","train_mse","val_contrastive_loss","val_mse"
"task4-strided_conv","finished","-","","","2026-01-28T19:20:30.000Z","249","","32","cilp-assessment","128","10","intermediate_hadamard","0.001","IntermediateFusionHadamardStrided","1254434","Adam","task4_strided_ablation","","strided_conv","","","10","0.9977497187148392","0.007042125709639877","0.995","0.01858437018224143","","","","314.0810546875","24.761857128143312","247.6185712814331","","","",""
"task4-maxpool","finished","-","","","2026-01-28T19:14:34.000Z","351","","32","cilp-assessment","128","10","intermediate_hadamard","0.001","IntermediateFusionHadamardMaxPool","1208258","Adam","task4_strided_ablation","","maxpool","","","10","0.9969996249531192","0.01034719538028868","0.98825","0.03839003745937316","","","","314.0810546875","34.989064645767215","349.8906464576721","","","",""
